Name-Type,Name,Type,URL,Campaign,Region Mismatch,Actual Region,Wiki Region,Experience,Gold,Faction,Faction Type,"Base Reward 
(Zaishen Copper Coins)","First Bonus Reward
(Zaishen Copper Coins)","Second Bonus Reward (HM)
(Zaishen Copper Coins)",Total Zaishen Copper Coints
Lord Khobay-Bounty,Lord Khobay,Bounty,https://wiki.guildwars.com/wiki/Lord_Khobay_(Zaishen_quest),Core,TRUE,Fissure of Woe,Fissure of Woe,"10,000","1,500",,,40,,100,140
Priest of Menzies-Bounty,Priest of Menzies,Bounty,https://wiki.guildwars.com/wiki/Priest_of_Menzies_(Zaishen_quest),Core,TRUE,Fissure of Woe,Fissure of Woe,"5,000","1,000",,,30,,75,105
Dragon Lich-Bounty,Dragon Lich,Bounty,https://wiki.guildwars.com/wiki/Dragon_Lich_(Zaishen_quest),Core,TRUE,Fissure of Woe,Fissure of Woe,"5,000","1,000",,,30,,75,105
The Four Horsemen-Bounty,The Four Horsemen,Bounty,https://wiki.guildwars.com/wiki/The_Four_Horsemen_(Zaishen_quest),Core,TRUE,Underworld,Underworld,"15,000","2,000",,,60,,150,210
Vengeful Aatxe-Bounty,Vengeful Aatxe,Bounty,https://wiki.guildwars.com/wiki/Vengeful_Aatxe_(Zaishen_quest),Core,TRUE,Underworld,Underworld,"10,000","1,500",,,40,,100,140
Charged Blackness-Bounty,Charged Blackness,Bounty,https://wiki.guildwars.com/wiki/Charged_Blackness_(Zaishen_quest),Core,TRUE,Underworld,Underworld,"10,000","1,500",,,40,,100,140
Rragar Maneater-Bounty,Rragar Maneater,Bounty,https://wiki.guildwars.com/wiki/Rragar_Maneater_(Zaishen_quest),Eye of the North,FALSE,Charr Homelands,Depths of Tyria,"10,000","1,500","2,500",Vanguard reputation points,40,,100,140
"Ilsundur, Lord of Fire-Bounty","Ilsundur, Lord of Fire",Bounty,"https://wiki.guildwars.com/wiki/Ilsundur,_Lord_of_Fire_(Zaishen_quest)",Eye of the North,FALSE,Charr Homelands,Depths of Tyria,"10,000","1,500","2,500",Vanguard reputation points,40,,100,140
"Murakai, Lady of the Night-Bounty","Murakai, Lady of the Night",Bounty,"https://wiki.guildwars.com/wiki/Murakai,_Lady_of_the_Night_(Zaishen_quest)",Eye of the North,FALSE,Charr Homelands,Depths of Tyria,"10,000","1,500","2,500",Vanguard reputation points,40,,100,140
Borrguus Blisterbark-Bounty,Borrguus Blisterbark,Bounty,https://wiki.guildwars.com/wiki/Borrguus_Blisterbark_(Zaishen_quest),Eye of the North,TRUE,Charr Homelands,Charr Homelands,"5,000","1,000","1,250",Vanguard reputation points,30,,75,105
Fozzy Yeoryios-Bounty,Fozzy Yeoryios,Bounty,https://wiki.guildwars.com/wiki/Fozzy_Yeoryios_(Zaishen_quest),Eye of the North,TRUE,Charr Homelands,Charr Homelands,"5,000","1,000","1,250",Vanguard reputation points,30,,75,105
Prismatic Ooze-Bounty,Prismatic Ooze,Bounty,https://wiki.guildwars.com/wiki/Prismatic_Ooze_(Zaishen_quest),Eye of the North,FALSE,Charr Homelands,Depths of Tyria,"10,000","1,500","2,500",Dwarf reputation points,30,,75,105
Molotov Rocktail-Bounty,Molotov Rocktail,Bounty,https://wiki.guildwars.com/wiki/Molotov_Rocktail_(Zaishen_quest),Eye of the North,TRUE,Charr Homelands,Charr Homelands,"5,000","1,000","1,250",Vanguard reputation points,30,,75,105
Duncan the Black-Bounty,Duncan the Black,Bounty,https://wiki.guildwars.com/wiki/Duncan_the_Black_(Zaishen_quest),Eye of the North,TRUE,Depths of Tyria,Depths of Tyria,"15,000","2,000","3,750",Dwarf reputation points,60,,150,210
Selvetarm-Bounty,Selvetarm,Bounty,https://wiki.guildwars.com/wiki/Selvetarm_(Zaishen_quest),Eye of the North,TRUE,Depths of Tyria,Depths of Tyria,"10,000","1,500","2,500",Dwarf reputation points,40,,100,140
Forgewight-Bounty,Forgewight,Bounty,https://wiki.guildwars.com/wiki/Forgewight_(Zaishen_quest),Eye of the North,TRUE,Depths of Tyria,Depths of Tyria,"10,000","1,500","2,500",Dwarf reputation points,40,,100,140
Magmus-Bounty,Magmus,Bounty,https://wiki.guildwars.com/wiki/Magmus_(Zaishen_quest),Eye of the North,TRUE,Depths of Tyria,Depths of Tyria,"10,000","1,500","2,500",Dwarf reputation points,40,,100,140
